0	 28	 
1	 29	 
2	 30	 
3	 31	 
4	 32	 
5	 33	 
6	 34	 
7	 35	 
8	 36	 
9	 37	 
10	 38	 
11	 39	 
12	 40	 
13	 41	 
14	 42	 
15	 43	 
16	 44	 
17	 45	 
18	 46	 
19	 47	 
20	 48	 
21	 49	 
22	 50	 
23	 51	 
24	 52	 
25	 53	 
26	 54	 
27	 55	 
0	 2	 
1	 3	 
2	 4	 
3	 5	 
4	 6	 
5	 7	 
6	 8	 
7	 9	 
8	 10	 
9	 11	 
10	 12	 
11	 13	 
12	 14	 
13	 15	 
14	 16	 
15	 17	 
16	 18	 
17	 19	 
18	 20	 
19	 21	 
20	 22	 
21	 23	 
22	 24	 
23	 25	 
24	 26	 
25	 27	 
28	 30	 
29	 31	 
30	 32	 
31	 33	 
32	 34	 
33	 35	 
34	 36	 
35	 37	 
36	 38	 
37	 39	 
38	 40	 
39	 41	 
40	 42	 
41	 43	 
42	 44	 
43	 45	 
44	 46	 
45	 47	 
46	 48	 
47	 49	 
48	 50	 
49	 51	 
50	 52	 
51	 53	 
52	 54	 
53	 55	 
0	 1	 
2	 3	 
4	 5	 
6	 7	 
8	 9	 
10	 11	 
12	 13	 
14	 15	 
16	 17	 
18	 19	 
20	 21	 
22	 23	 
24	 25	 
26	 27	 
30	 31	 
32	 33	 
34	 35	 
36	 37	 
38	 39	 
40	 41	 
42	 43	 
44	 45	 
46	 47	 
48	 49	 
50	 51	 
52	 53	 
54	 55	 
0	 3	 
2	 1	 
2	 5	 
4	 3	 
4	 7	 
6	 5	 
6	 9	 
8	 7	 
8	 11	 
10	 9	 
10	 13	 
12	 11	 
12	 15	 
14	 13	 
14	 17	 
16	 15	 
16	 19	 
18	 17	 
18	 21	 
20	 19	 
20	 23	 
22	 21	 
22	 25	 
24	 23	 
24	 27	 
26	 25	 
28	 31	 
30	 29	 
30	 33	 
32	 31	 
32	 35	 
34	 33	 
34	 37	 
36	 35	 
36	 39	 
38	 37	 
38	 41	 
40	 39	 
40	 43	 
42	 41	 
42	 45	 
44	 43	 
44	 47	 
46	 45	 
46	 49	 
48	 47	 
48	 51	 
50	 49	 
50	 53	 
52	 51	 
52	 55	 
54	 53	 
0	 29	 
1	 28	 
2	 31	 
3	 30	 
4	 33	 
5	 32	 
6	 35	 
7	 34	 
8	 37	 
9	 36	 
10	 39	 
11	 38	 
12	 41	 
13	 40	 
14	 43	 
15	 42	 
16	 45	 
17	 44	 
18	 47	 
19	 46	 
20	 49	 
21	 48	 
22	 51	 
23	 50	 
24	 53	 
25	 52	 
26	 55	 
27	 54	 
0	 30	 
28	 2	 
1	 31	 
29	 3	 
2	 32	 
30	 4	 
3	 33	 
31	 5	 
4	 34	 
32	 6	 
5	 35	 
33	 7	 
6	 36	 
34	 8	 
7	 37	 
35	 9	 
8	 38	 
36	 10	 
9	 39	 
37	 11	 
10	 40	 
38	 12	 
11	 41	 
39	 13	 
12	 42	 
40	 14	 
13	 43	 
41	 15	 
14	 44	 
42	 16	 
15	 45	 
43	 17	 
16	 46	 
44	 18	 
17	 47	 
45	 19	 
18	 48	 
46	 20	 
19	 49	 
47	 21	 
20	 50	 
48	 22	 
21	 51	 
49	 23	 
22	 52	 
50	 24	 
23	 53	 
51	 25	 
24	 54	 
52	 26	 
25	 55	 
53	 27	 
56	 0	 
57	 1	 
56	 1	 
57	 0	 
